model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
Amphibian	5537	30	1.477121255	36.28205945	13.35525373	-1.30398933	-0.073474832	72	184	30.33662586	6.133333333	2.87816092	0.825229661	0.474077205	1.245168905	0.285832432	3817.936458	-0.21186275	1.916901348	2	0.046802882
Amphibian	5538	28	1.447158031	34.27078271	12.08718224	-1.180266132	1.578954483	46	152	26.96933003	5.428571429	1.735449735	0.846088217	0.438782051	1.304840783	0.316564306	3256.26277	-0.388341472	2.014356766	41	0.050399662
Amphibian	5575	75	1.875061263	56.92142185	16.42023053	-1.509955889	2.747971751	176	530	78.94671834	7.066666667	2.495495495	0.694791826	0.45194371	1.189129691	0.330676148	15608.73316	0.040057265	2.450093192	1	0.210054665
Amphibian	5576	56	1.748188027	39.11033448	18.66301402	-2.241472346	2.588501314	118	368	58.72731046	6.571428571	1.994805195	0.781601218	0.467114367	1.253246427	0.22372627	7737.347403	-0.163044274	2.703593117	13	0.115817892
Amphibian	5577	45	1.653212514	30.91920035	17.64097242	-2.135398272	9.999924917	66	266	45.5504589	5.911111111	1.31010101	0.868976421	0.430496032	1.375027001	0.254980577	4824.632458	-0.687694847	2.632720789	70	0.079744806
Amphibian	5578	27	1.431363764	27.89369095	10.22522881	-1.420321377	9.999955119	37	141	26.94215866	5.222222222	1.41025641	0.802286177	0.510897436	1.27333616	0.308864154	2578.767211	-0.489512235	2.633485368	1	0.093327923
Amphibian	5604	22	1.342422681	29.20680861	10.33091589	-1.92208659	8.51022902	29	107	19.74572181	4.863636364	1.266233766	0.8325048	0.415656566	1.249068185	0.289842433	2138.739898	-0.410580701	1.981282028	1	0.095703151
Amphibian	5653	28	1.447158031	50.78077053	9.342059201	-0.28760035	-0.813893173	93	185	30.80985704	6.607142857	7.136243386	0.6752356	0.630297267	1.060442519	0.403121021	4967.6601	0.740901533	1.536575895	15	0.101896063
Amphibian	5654	20	1.301029996	39.46498444	7.477706826	-0.06953859	-1.193811012	75	131	22.57237775	6.55	6.576315789	0.545731224	0.716547619	0.769774882	0.234802941	2818.623772	1.889638118	1.830199211	3	0.074547829
Amphibian	5655	19	1.278753601	34.05357625	7.348161881	-0.294551853	-0.893428681	57	111	19.62793877	5.842105263	5.140350877	0.573957529	0.690608466	0.816732354	0.249354133	2293.845389	1.843593451	1.757474335	2	0.072116234
Amphibian	5656	17	1.230448921	25.84725675	6.792777293	-0.896268826	-0.745659599	42	90	16.73756701	5.294117647	3.720588235	0.612202065	0.667559524	0.888487535	0.248239373	1526.323584	1.441162638	1.720274404	2	0.096176138
